RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,0,,0,,0,,0,,0,,528957,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,0,,0,,0,,0,,0,,5694121,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,0,,0,,0,,0,,0,,8113076,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400001,經常支出,0,,0,,0,,0,,591624,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400001,經常支出,0,,0,,0,,0,,5188057,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400001,經常支出,0,,0,,0,,0,,5552359,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400002,資本支出,0,,0,,0,,0,,31363,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400002,資本支出,0,,0,,0,,0,,219614,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,2359687,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2018/3/5 上午 09:37:10,2018/3/8 下午 03:29:20
